date,ALL.Download,ALL.Upload,zona 1.Download,zona 1.Upload,zona 10.Download,zona 10.Upload,zona 2.Download,zona 2.Upload,zona 3.Download,zona 3.Upload,zona 4.Download,zona 4.Upload,zona 5.Download,zona 5.Upload,zona 6.Download,zona 6.Upload,zona 7.Download,zona 7.Upload,zona 8.Download,zona 8.Upload,zona 9.Download,zona 9.Upload
2019/05/21,479145.3260240555,63520.20150947571,47619.39372062683,11174.090692520142,66800.24299812317,9135.31618309021,43007.570366859436,7578.009767532349,64283.80310630798,8608.507068634033,43483.90007209778,3831.7114267349243,29398.17276096344,3063.6098136901855,54304.04450416565,6972.198769569397,42988.90397930145,5395.971173286438,47620.23469543457,4610.589242935181,39639.05982017517,3150.197371482849
2019/05/20,418350.39370155334,50262.17008018494,38457.73199558258,7906.645995140076,55569.06055164337,7995.5657777786255,38038.30013656616,3795.4372148513794,61415.818588256836,7739.641798019409,44619.727690696716,4487.067758560181,23397.957314491272,2242.4478425979614,41139.485260009766,4393.670513153076,47869.730763435364,3770.010265350342,42209.94212627411,5138.050493240356,25632.639274597168,2793.6324214935303
2019/05/19,348804.0582809448,42395.006863594055,29460.652326583862,8786.609718322754,55699.98162937164,5736.062624931335,32666.003291130066,2907.7919483184814,43560.5775346756,5135.557173728943,36365.985713005066,3629.8402404785156,14943.598894119263,1108.619134902954,42852.10450363159,4450.742552757263,34969.4422416687,2692.3627643585205,27977.89442062378,5117.741651535034,30307.817726135254,2829.679054260254
2019/05/18,369510.38720321655,51900.17678642273,34168.201333999634,13173.02140712738,57312.92596530914,6714.707297325134,29609.20468044281,4445.347267150879,51876.39634799957,6721.763642311096,36389.17035102844,2864.6064262390137,16803.245973587036,1849.3305387496948,48709.14309310913,5160.950529098511,35674.718769073486,4117.6134605407715,34642.3696975708,4957.561266899109,24325.010991096497,1895.2749509811401
2019/05/17,423107.7227754593,54058.01686859131,38046.94714927673,8668.195099830627,63038.753761291504,10015.873847961426,35215.5584859848,5447.373304367065,64637.628913879395,5783.411527633667,40170.010190963745,4519.880394935608,17447.998472213745,1339.04860496521,48928.77308177948,4734.193088531494,45644.91607093811,5356.027112960815,43459.121457099915,4288.317894935608,26518.01519203186,3905.6959924697876
2019/05/16,500573.71330451965,67867.6555595398,55112.895223617554,11026.333918571472,75818.90258979797,7946.267262458801,37135.68655490875,6574.617748260498,74253.61045265198,11778.072180747986,44934.72235870361,4625.425614356995,31204.89686012268,3152.8182287216187,49986.8949842453,5335.1470584869385,38193.05408859253,4104.949089050293,49349.37862586975,8020.194513320923,44583.67156600952,5303.82994556427
2019/05/15,463301.6142911911,61090.850193977356,45864.51941204071,10247.306542396545,73600.95093154907,9137.219818115234,35027.79690551758,5196.2959814071655,66831.04391288757,8626.595782279968,45199.81887245178,4965.722755432129,21496.41374015808,1814.2277736663818,52536.5145072937,5589.821914672852,44370.51712989807,5841.876469612122,42120.98550701141,5371.782879829407,36253.05337238312,4300.000276565552
2019/05/14,427709.48367118835,59604.287388801575,44440.908237457275,14042.31248664856,67489.81864929199,8118.933438301086,45773.07377433777,4963.940588951111,61198.85796928406,8322.245559692383,43807.45383358002,5142.405691146851,19979.99890232086,2532.775716781616,41457.62399101257,5043.015170097351,37912.166308403015,3405.60050201416,40421.677433013916,4514.102041244507,25227.904572486877,3518.95619392395
2019/05/13,432071.7506418228,66830.8795967102,52293.544920921326,13234.253883361816,65400.44002723694,9241.602136611938,42386.8814125061,4059.571222305298,64921.1088552475,11419.170079231262,39756.350111961365,3977.8046464920044,20081.476989746094,2974.307455062866,33631.95060634613,4031.828362464905,34999.36398220062,3895.4591636657715,39619.876918792725,5286.991445541382,38980.756816864014,8709.891201972961
2019/05/12,405761.8144464493,78188.05729866028,43480.66578769684,27145.1546087265,67478.73911857605,7853.3559284210205,31609.59300136566,5760.791007041931,49829.22357749939,10379.845022201538,48806.59697341919,3969.397077560425,19023.068336486816,3179.648314476013,44444.884556770325,5720.238409042358,36488.3534450531,3347.3399906158447,33205.31642913818,5164.155511856079,31395.373220443726,5668.131428718567
2019/05/11,433200.8197116852,65831.78044128418,50895.11690711975,18842.54408454895,66705.17302131653,7634.002541542053,42697.258467674255,5474.553865432739,53721.11136341095,7338.697030067444,40480.158593177795,3866.114754676819,18431.141644477844,2412.308473587036,45659.86816883087,5478.814901351929,37482.22065162659,4105.888778686523,45248.22363471985,6162.46151638031,31880.54725933075,4516.394495010376
2019/05/10,506641.926776886,74397.56112670898,54717.926681518555,18781.423517227173,81758.92065143585,8782.8751745224,48780.77226448059,5029.625791549683,78250.9494009018,9895.434967041016,50603.39687538147,4247.942359924316,21136.74096107483,2375.421299934387,47618.741844177246,8079.072024345398,45948.76487827301,5248.934860229492,42142.964787483215,6536.9836893081665,35682.748432159424,5419.847442626953
